Country,Country Code,HighIncome,OECD,SERF,GDPPC,Education,Health,Housing,Food,Work,EnrollYear,EnrollGDP,EnrollRate,EnrollAdjPerf,PrimaryYear,PrimaryGDP,PrimaryRate,PrimaryAdjPerf,ChildSurviveYear,ChildSurviveGDP,ChildSurviveRate,ChildSurviveAdjPerf,Age65Year,Age65GDP,Age65Rate,Age65AdjPerf,ContraceptiveYear,ContraceptiveGDP,ContraceptiveRate,ContraceptiveAdjPerf,SanitationYear,SanitationGDP,SanitationRate,SanitationAdjPerf,RuralImprovedH20Year,RuralImprovedH20GDP,RuralImprovedH20Rate,RuralImprovedH20AdjPerf,StuntingYear,StuntingGDP,StuntingRate,Stunting AdjPerf,NotPoorYear,NotPoorGDP,NotPoorRate,NotPoorAdjPerf
Aruba,ABW,1,0,,,,,95.07753484,,,2011,36015.07046,83.56725311,77.28425927,,,,,,,,,2011,36015.07046,82.83167109,89.17442474,,,,,2011,36015.07046,97.7,95.54757777,2011,36015.07046,97.8,94.60749192,,,,,,,,
Andorra,ADO,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,0,0,,1808.126028,,61.53062968,46.60426202,,,2014,1844.021503,69.51721191,89.97823423,,,,,2015,1808.126028,90.89,79.80713176,2014,1844.021503,58.0367839,75.88844498,2011,1712.58872,19.5,28.89631231,2015,1808.126028,31.9,40.37655929,2015,1808.126028,47,52.83196475,,,,,,,,
Angola,AGO,0,0,,6937.631046,56.2694208,,38.78936818,62.43495078,46.01002212,2011,6524.481181,67.0952301,76.09935514,2011,6524.481181,49.72512817,36.43948646,2015,6937.631046,84.31,52.38452112,2014,6955.960047,46.76532818,43.61583636,,,,,2015,6937.631046,51.6,52.53226211,2015,6937.631046,28.2,25.04647425,2007,5957.757227,70.79999924,62.43495078,2008,6555.964814,45.48,46.01002212
Albania,ALB,0,0,83.98066603,11015.16388,95.30588478,69.63189244,93.05288827,69.84835278,92.06431187,2015,11015.16388,86.38816,90.61176956,2014,10698.5247,107.8213196,100,2015,11015.16388,98.6,97.28091467,2014,10698.5247,87.48040984,98.66428733,2009,9524.648957,10.6,12.95047532,2015,11015.16388,93.2,92.66003222,2015,11015.16388,95.2,93.44574431,2009,9524.648957,76.89999962,69.84835278,2012,10370.3549,93.21,92.06431187
United Arab Emirates,ARE,1,0,,65716.98396,,,96.88937666,,,,,,,2014,63830.70036,102.7079468,100,2015,65716.98396,99.32,98.15505047,2014,63830.70036,85.64639005,92.36349056,,,,,2015,65716.98396,97.6,93.77875333,2015,65716.98396,100,100,,,,,,,,
Argentina,ARG,0,0,92.9091531,19126.34249,100,83.22314824,97.45226265,90.57408471,93.2962699,2014,18872.96661,101.04779,100,2013,19569.62995,100.8773727,100,2015,19126.34249,98.75,97.04510582,2014,18872.96661,81.57606719,88.63243086,2012,19330.5308,53.4,63.99190805,2015,19126.34249,96.4,94.90452529,2015,19126.34249,100,100,2005,15549.5758,91.80000019,90.57408471,2014,18872.96661,95.72,93.2962699
Armenia,ARM,0,0,84.06078243,7906.916569,91.0476378,73.79470236,95.17654012,75.08902748,85.1960044,2015,7906.916569,74.47618,82.0952756,2008,7388.626636,100.1311035,100,2015,7906.916569,98.59,97.91566487,2014,7706.132934,79.70149774,89.63348417,2010,6507.914402,27.2,33.83495805,2015,7906.916569,89.5,90.35308025,2015,7906.916569,100,100,2010,6507.914402,79.20000076,75.08902748,2014,7706.132934,85.38,85.1960044
American Samoa,ASM,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,1,0,,21660.22167,90.33848715,,91.84598973,,,2012,20541.27416,82.03106689,80.6769743,2014,21011.81136,102.272728,100,2015,21660.22167,99.19,98.31984801,2014,21011.81136,81.2058372,87.88856274,,,,,2011,19987.92414,91.4,87.71045665,2015,21660.22167,97.9,95.98152281,,,,,,,,
Australia,AUS,1,1,,43631.23586,,93.11663636,100,100,,2014,43273.85764,116.2323,100,,,,,2015,43631.23586,99.62,99.23896755,2014,43273.85764,90.65379266,99.37690714,2005,38818.84192,68,80.73403439,2015,43631.23586,100,100,2015,43631.23586,100,100,2007,40617.00994,98.20000005,100,,,,
Austria,AUT,1,1,,44048.43145,95.16683132,92.29692352,100,,,2015,44048.43145,95.63781,93.16459217,2014,44122.65041,99.23864746,97.16907047,2015,44048.43145,99.65,99.32906186,2014,44122.65041,89.24850939,97.48431457,2009,42459.9772,67.5,80.07739412,2015,44048.43145,100,100,2015,44048.43145,100,100,,,,,,,,
Azerbaijan,AZE,0,0,79.02451098,16698.86368,85.6346631,62.93562693,75.65705575,74.35211136,96.54309774,2014,16715.10552,75.39504242,75.55087641,2014,16715.10552,98.12570953,95.71844979,2015,16698.86368,96.83,91.116838,2014,16715.10552,75.19750927,80.29327741,2006,10711.18227,14.3,17.39676537,2015,16698.86368,89.3,85.99884726,2015,16698.86368,77.8,65.31526423,2013,16593.18876,82,74.35211136,2008,14364.99423,97.49,96.54309774
Burundi,BDI,0,0,70.28266613,682.944118,87.1341687,80.51175141,100,46.41271629,37.35469427,2013,725.3044314,62.39812088,84.16956548,2014,734.4845955,66.639328,90.09877192,2015,682.944118,91.83,100,2014,734.4845955,53.42883513,100,2010,707.7875756,17.7,41.53525422,2015,682.944118,48,100,2015,682.944118,73.8,100,2010,707.7875756,42.5,46.41271629,2006,689.3479051,7.83,37.35469427
Belgium,BEL,1,1,,41825.87498,81.94178102,92.33701341,99.47411276,,,2014,41274.46739,118.6922684,100,2014,41274.46739,88.39974213,63.88356204,2015,41825.87498,99.59,99.16328622,2014,41274.46739,88.0520754,95.96792031,2010,41086.55159,69,81.8798337,2015,41825.87498,99.5,98.94822552,2015,41825.87498,100,100,,,,,,,,
Benin,BEN,0,0,58.66298785,1931.664951,87.38900994,54.51319643,52.27176472,66.18161513,32.95935302,2013,1875.037163,73.1049118,94.51935931,2014,1942.262992,76.34879303,80.25866058,2015,1931.664951,90.05,76.31376147,2014,1942.262992,58.69862285,75.65956694,2012,1796.633965,7.9,11.56626089,2015,1931.664951,19.7,24.42088466,2015,1931.664951,72.1,80.12264479,2014,1942.262992,66,66.18161513,2011,1761.574331,24.37,32.95935302
