"","ADM0_A3","scalerank","featurecla","LABELRANK","SOVEREIGNT","SOV_A3","ADM0_DIF","LEVEL","TYPE","ADMIN","GEOU_DIF","GEOUNIT","GU_A3","SU_DIF","SUBUNIT","SU_A3","BRK_DIFF","NAME","NAME_LONG","BRK_A3","BRK_NAME","BRK_GROUP","ABBREV","POSTAL","FORMAL_EN","FORMAL_FR","NOTE_ADM0","NOTE_BRK","NAME_SORT","NAME_ALT","MAPCOLOR7","MAPCOLOR8","MAPCOLOR9","MAPCOLOR13","POP_EST","GDP_MD_EST","POP_YEAR","LASTCENSUS","GDP_YEAR","ECONOMY","INCOME_GRP","WIKIPEDIA","FIPS_10_","ISO_A2","ISO_A3","ISO_N3","UN_A3","WB_A2","WB_A3","WOE_ID","WOE_ID_EH","WOE_NOTE","ADM0_A3_IS","ADM0_A3_US","ADM0_A3_UN","ADM0_A3_WB","CONTINENT","REGION_UN","SUBREGION","REGION_WB","NAME_LEN","LONG_LEN","ABBREV_LEN","TINY","HOMEPART","Country","HighIncome","OECD","SERF","GDPPC","Education","Health","Housing","Food","Work","EnrollYear","EnrollGDP","EnrollRate","EnrollAdjPerf","PrimaryYear","PrimaryGDP","PrimaryRate","PrimaryAdjPerf","ChildSurviveYear","ChildSurviveGDP","ChildSurviveRate","ChildSurviveAdjPerf","Age65Year","Age65GDP","Age65Rate","Age65AdjPerf","ContraceptiveYear","ContraceptiveGDP","ContraceptiveRate","ContraceptiveAdjPerf","SanitationYear","SanitationGDP","SanitationRate","SanitationAdjPerf","RuralImprovedH20Year","RuralImprovedH20GDP","RuralImprovedH20Rate","RuralImprovedH20AdjPerf","StuntingYear","StuntingGDP","StuntingRate","Stunting.AdjPerf","NotPoorYear","NotPoorGDP","NotPoorRate","NotPoorAdjPerf"
"1","ABW",3,"Admin-0 country",5,"Netherlands","NL1",1,2,"Country","Aruba",0,"Aruba","ABW",0,"Aruba","ABW",0,"Aruba","Aruba","ABW","Aruba",NA,"Aruba","AW","Aruba",NA,"Neth.",NA,"Aruba",NA,4,2,2,9,103065,2258,-99,2010,-99,"6. Developing region","2. High income: nonOECD",-99,"AA","AW","ABW","533","533","AW","ABW",23424736,23424736,"Exact WOE match as country","ABW","ABW",-99,-99,"North America","Americas","Caribbean","Latin America & Caribbean",5,5,5,4,-99,"Aruba",1,0,NA,NA,NA,NA,95.07753484,NA,NA,2011,36015.07046,83.56725311,77.28425927,NA,NA,NA,NA,NA,NA,NA,NA,2011,36015.07046,82.83167109,89.17442474,NA,NA,NA,NA,2011,36015.07046,97.7,95.54757777,2011,36015.07046,97.8,94.60749192,NA,NA,NA,NA,NA,NA,NA,NA
"2","AFG",0,"Admin-0 country",3,"Afghanistan","AFG",0,2,"Sovereign country","Afghanistan",0,"Afghanistan","AFG",0,"Afghanistan","AFG",0,"Afghanistan","Afghanistan","AFG","Afghanistan",NA,"Afg.","AF","Islamic State of Afghanistan",NA,NA,NA,"Afghanistan",NA,5,6,8,7,28400000,22270,-99,1979,-99,"7. Least developed region","5. Low income",-99,"AF","AF","AFG","004","004","AF","AFG",23424739,23424739,"Exact WOE match as country","AFG","AFG",-99,-99,"Asia","Asia","Southern Asia","South Asia",11,11,4,-99,1,"Afghanistan",0,0,NA,1808.126028,NA,61.53062968,46.60426202,NA,NA,2014,1844.021503,69.51721191,89.97823423,NA,NA,NA,NA,2015,1808.126028,90.89,79.80713176,2014,1844.021503,58.0367839,75.88844498,2011,1712.58872,19.5,28.89631231,2015,1808.126028,31.9,40.37655929,2015,1808.126028,47,52.83196475,NA,NA,NA,NA,NA,NA,NA,NA
"3","AGO",0,"Admin-0 country",3,"Angola","AGO",0,2,"Sovereign country","Angola",0,"Angola","AGO",0,"Angola","AGO",0,"Angola","Angola","AGO","Angola",NA,"Ang.","AO","People's Republic of Angola",NA,NA,NA,"Angola",NA,3,2,6,1,12799293,110300,-99,1970,-99,"7. Least developed region","3. Upper middle income",-99,"AO","AO","AGO","024","024","AO","AGO",23424745,23424745,"Exact WOE match as country","AGO","AGO",-99,-99,"Africa","Africa","Middle Africa","Sub-Saharan Africa",6,6,4,-99,1,"Angola",0,0,NA,6937.631046,56.2694208,NA,38.78936818,62.43495078,46.01002212,2011,6524.481181,67.0952301,76.09935514,2011,6524.481181,49.72512817,36.43948646,2015,6937.631046,84.31,52.38452112,2014,6955.960047,46.76532818,43.61583636,NA,NA,NA,NA,2015,6937.631046,51.6,52.53226211,2015,6937.631046,28.2,25.04647425,2007,5957.757227,70.79999924,62.43495078,2008,6555.964814,45.48,46.01002212
"4","AIA",3,"Admin-0 country",6,"United Kingdom","GB1",1,2,"Dependency","Anguilla",0,"Anguilla","AIA",0,"Anguilla","AIA",0,"Anguilla","Anguilla","AIA","Anguilla",NA,"Ang.","AI",NA,NA,"U.K.",NA,"Anguilla",NA,6,6,6,3,14436,108.9,-99,-99,-99,"6. Developing region","3. Upper middle income",-99,"AV","AI","AIA","660","660","-99","-99",23424751,23424751,"Exact WOE match as country","AIA","AIA",-99,-99,"North America","Americas","Caribbean","Latin America & Caribbean",8,8,4,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ALB",0,"Admin-0 country",6,"Albania","ALB",0,2,"Sovereign country","Albania",0,"Albania","ALB",0,"Albania","ALB",0,"Albania","Albania","ALB","Albania",NA,"Alb.","AL","Republic of Albania",NA,NA,NA,"Albania",NA,1,4,1,6,3639453,21810,-99,2001,-99,"6. Developing region","4. Lower middle income",-99,"AL","AL","ALB","008","008","AL","ALB",23424742,23424742,"Exact WOE match as country","ALB","ALB",-99,-99,"Europe","Europe","Southern Europe","Europe & Central Asia",7,7,4,-99,1,"Albania",0,0,83.98066603,11015.16388,95.30588478,69.63189244,93.05288827,69.84835278,92.06431187,2015,11015.16388,86.38816,90.61176956,2014,10698.5247,107.8213196,100,2015,11015.16388,98.6,97.28091467,2014,10698.5247,87.48040984,98.66428733,2009,9524.648957,10.6,12.95047532,2015,11015.16388,93.2,92.66003222,2015,11015.16388,95.2,93.44574431,2009,9524.648957,76.89999962,69.84835278,2012,10370.3549,93.21,92.06431187
"6","ALD",3,"Admin-0 country",6,"Finland","FI1",1,2,"Country","Aland",0,"Aland","ALD",0,"Aland","ALD",0,"Aland","Aland Islands","ALD","Aland",NA,"Aland","AI","Åland Islands",NA,"Fin.",NA,"Aland",NA,4,1,4,6,27153,1563,-99,-99,-99,"2. Developed region: nonG7","1. High income: OECD",-99,"-99","AX","ALA","248","248","-99","-99",12577865,12577865,"Exact WOE match as country","ALA","ALD",-99,-99,"Europe","Europe","Northern Europe","Europe & Central Asia",5,13,5,5,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AND",0,"Admin-0 country",6,"Andorra","AND",0,2,"Sovereign country","Andorra",0,"Andorra","AND",0,"Andorra","AND",0,"Andorra","Andorra","AND","Andorra",NA,"And.","AND","Principality of Andorra",NA,NA,NA,"Andorra",NA,1,4,1,8,83888,3660,-99,1989,-99,"2. Developed region: nonG7","2. High income: nonOECD",-99,"AN","AD","AND","020","020","AD","ADO",23424744,23424744,"Exact WOE match as country","AND","AND",-99,-99,"Europe","Europe","Southern Europe","Europe & Central Asia",7,7,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ARE",0,"Admin-0 country",4,"United Arab Emirates","ARE",0,2,"Sovereign country","United Arab Emirates",0,"United Arab Emirates","ARE",0,"United Arab Emirates","ARE",0,"United Arab Emirates","United Arab Emirates","ARE","United Arab Emirates",NA,"U.A.E.","AE","United Arab Emirates",NA,NA,NA,"United Arab Emirates",NA,2,1,3,3,4798491,184300,-99,2010,-99,"6. Developing region","2. High income: nonOECD",-99,"AE","AE","ARE","784","784","AE","ARE",23424738,23424738,"Exact WOE match as country","ARE","ARE",-99,-99,"Asia","Asia","Western Asia","Middle East & North Africa",20,20,6,-99,1,"United Arab Emirates",1,0,NA,65716.98396,NA,NA,96.88937666,NA,NA,NA,NA,NA,NA,2014,63830.70036,102.7079468,100,2015,65716.98396,99.32,98.15505047,2014,63830.70036,85.64639005,92.36349056,NA,NA,NA,NA,2015,65716.98396,97.6,93.77875333,2015,65716.98396,100,100,NA,NA,NA,NA,NA,NA,NA,NA
"9","ARG",0,"Admin-0 country",2,"Argentina","ARG",0,2,"Sovereign country","Argentina",0,"Argentina","ARG",0,"Argentina","ARG",0,"Argentina","Argentina","ARG","Argentina",NA,"Arg.","AR","Argentine Republic",NA,NA,NA,"Argentina",NA,3,1,3,13,40913584,573900,-99,2010,-99,"5. Emerging region: G20","3. Upper middle income",-99,"AR","AR","ARG","032","032","AR","ARG",23424747,23424747,"Exact WOE match as country","ARG","ARG",-99,-99,"South America","Americas","South America","Latin America & Caribbean",9,9,4,-99,1,"Argentina",0,0,92.9091531,19126.34249,100,83.22314824,97.45226265,90.57408471,93.2962699,2014,18872.96661,101.04779,100,2013,19569.62995,100.8773727,100,2015,19126.34249,98.75,97.04510582,2014,18872.96661,81.57606719,88.63243086,2012,19330.5308,53.4,63.99190805,2015,19126.34249,96.4,94.90452529,2015,19126.34249,100,100,2005,15549.5758,91.80000019,90.57408471,2014,18872.96661,95.72,93.2962699
"10","ARM",0,"Admin-0 country",6,"Armenia","ARM",0,2,"Sovereign country","Armenia",0,"Armenia","ARM",0,"Armenia","ARM",0,"Armenia","Armenia","ARM","Armenia",NA,"Arm.","ARM","Republic of Armenia",NA,NA,NA,"Armenia",NA,3,1,2,10,2967004,18770,-99,2001,-99,"6. Developing region","4. Lower middle income",-99,"AM","AM","ARM","051","051","AM","ARM",23424743,23424743,"Exact WOE match as country","ARM","ARM",-99,-99,"Asia","Asia","Western Asia","Europe & Central Asia",7,7,4,-99,1,"Armenia",0,0,84.06078243,7906.916569,91.0476378,73.79470236,95.17654012,75.08902748,85.1960044,2015,7906.916569,74.47618,82.0952756,2008,7388.626636,100.1311035,100,2015,7906.916569,98.59,97.91566487,2014,7706.132934,79.70149774,89.63348417,2010,6507.914402,27.2,33.83495805,2015,7906.916569,89.5,90.35308025,2015,7906.916569,100,100,2010,6507.914402,79.20000076,75.08902748,2014,7706.132934,85.38,85.1960044
